                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7139,                 3.2261,                 1.7416,                0.00933,                0.18519,                0.00904,                 0.0036,                    nan,                    nan,                    nan,                0.00058,                0.00058,                0.00058
                      2,                  1.742,                 2.2946,                 1.7899,                0.00933,                0.18519,                0.00904,                 0.0036,                    nan,                    nan,                    nan,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.9082,                 2.1984,                 1.9596,                0.00933,                0.18519,                0.00904,                 0.0036,                    nan,                    nan,                    nan,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.8887,                 2.1135,                 1.9239,                 0.0003,                0.03704,                0.00017,                  3e-05,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7301,                 1.9362,                 1.7846,                 0.0056,                0.18519,                0.00342,                0.00127,                 3.4382,                  106.8,                 45.658,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7337,                 1.7408,                 1.8075,                0.05946,                0.44444,                0.03731,                0.01568,                 2.4856,                 38.412,                 7.0742,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.715,                 1.6735,                 1.7893,                0.80563,                0.62963,                0.77763,                0.47156,                 1.4489,                 2.8627,                 1.6838,               0.001901,               0.001901,               0.001901
                      8,                 1.6639,                 1.6202,                 1.7231,                0.93208,                0.50876,                0.69707,                0.28983,                 1.9399,                 2.0317,                 2.0288,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6219,                 1.5717,                 1.7091,                0.70328,                 0.7037,                0.77545,                0.45429,                  1.445,                 1.3899,                 1.6037,              0.0018614,              0.0018614,              0.0018614
                     10,                   1.59,                 1.4557,                 1.6545,                0.69826,                0.59259,                0.75177,                 0.3792,                 1.5713,                  1.541,                 1.6681,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5658,                 1.4527,                 1.6432,                0.86561,                0.71601,                0.89585,                0.55299,                 1.4889,                 1.3299,                 1.5675,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.5519,                 1.3944,                 1.6541,                0.86511,                0.47544,                0.65057,                0.39931,                 1.4891,                 1.6142,                 1.6361,               0.001802,               0.001802,               0.001802
                     13,                 1.5657,                 1.4102,                 1.7053,                0.91487,                0.77778,                0.86775,                0.52689,                 1.3656,                 1.1451,                 1.5615,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5315,                 1.4096,                 1.6088,                0.78845,                0.82853,                0.87714,                0.50589,                 1.4368,                 1.2118,                 1.5776,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5349,                 1.4208,                 1.6854,                0.75466,                0.91169,                0.92656,                0.60694,                 1.2949,                 1.0066,                 1.4535,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.5063,                 1.3781,                 1.5941,                0.93952,                0.81481,                0.89966,                0.58246,                 1.1714,                0.89753,                 1.3527,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4565,                 1.2563,                 1.5768,                0.90419,                0.88889,                 0.9639,                0.63081,                 1.2354,                0.94749,                 1.3859,               0.001703,               0.001703,               0.001703
                     18,                 1.4505,                 1.2378,                 1.5587,                0.83677,                0.94962,                0.91695,                0.56866,                 1.2988,                 0.8921,                 1.4028,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4309,                 1.2425,                 1.5318,                0.92046,                0.74074,                0.85008,                0.56245,                 1.3088,                 1.0814,                 1.4487,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4543,                 1.2089,                 1.5746,                 0.8116,                0.95743,                  0.944,                0.58624,                 1.2935,                 1.0114,                 1.4242,              0.0016436,              0.0016436,              0.0016436
