                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6125,                 2.4046,                 1.6103,                0.50366,                0.59259,                0.58184,                0.37798,                 1.1976,                 2.0392,                 1.3241,                0.00058,                0.00058,                0.00058
                      2,                 1.6284,                 1.7691,                 1.6457,                0.30921,                0.41462,                0.20553,                0.10863,                 2.3052,                 7.2902,                 2.8647,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.7212,                 1.7534,                 1.7014,                0.00045,                0.03704,                0.00023,                  5e-05,                    nan,                    nan,                    nan,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.7191,                 1.7297,                 1.7425,                0.00598,                0.14815,                0.00297,                0.00087,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6707,                 1.6046,                 1.6998,                0.09206,                0.18519,                0.02628,                0.00612,                 2.9295,                 8.4168,                  2.982,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.651,                 1.5392,                 1.6506,                0.09206,                0.18519,                0.02628,                0.00612,                 5.0648,                 7.7437,                 10.488,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5843,                 1.4659,                 1.6035,                0.35268,                0.37037,                0.33614,                0.15992,                 2.0953,                 2.4461,                 2.1778,               0.001901,               0.001901,               0.001901
                      8,                 1.5668,                 1.4782,                  1.629,                0.61289,                0.81481,                0.70719,                0.41141,                 1.4684,                 1.5474,                 1.5566,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5032,                 1.3186,                 1.5651,                0.63095,                0.57025,                0.66443,                0.41691,                 1.3916,                 1.5238,                 1.4955,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5093,                 1.3056,                 1.5352,                0.59264,                0.74074,                0.73866,                0.42153,                 1.3776,                 1.3712,                 1.4032,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4669,                 1.3212,                 1.5333,                0.82369,                0.69247,                0.81565,                0.53467,                 1.1514,                  1.125,                  1.346,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4382,                 1.2545,                 1.5006,                0.89554,                0.85185,                0.94359,                0.60703,                 1.2118,                0.95748,                 1.3563,               0.001802,               0.001802,               0.001802
                     13,                 1.4677,                 1.2403,                 1.5398,                0.94871,                0.74074,                0.90923,                0.59129,                 1.2394,                0.95353,                 1.3339,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4613,                 1.2816,                 1.5044,                0.93333,                0.77778,                0.90286,                0.57431,                 1.3326,                 1.1651,                 1.4903,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4166,                  1.254,                  1.493,                0.88054,                0.81915,                0.94091,                0.61353,                 1.1394,                0.86029,                 1.3053,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4178,                 1.1786,                 1.4755,                0.90321,                0.81481,                0.92463,                0.65553,                 1.0788,                0.81929,                 1.2522,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3891,                 1.1628,                 1.4695,                0.84918,                0.88889,                0.89775,                0.58874,                 1.1433,                0.88883,                 1.2801,               0.001703,               0.001703,               0.001703
                     18,                 1.3978,                 1.1729,                 1.4538,                0.75716,                0.88889,                0.90118,                0.60463,                 1.1322,                0.89744,                 1.2565,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3498,                 1.1042,                 1.4208,                0.95726,                0.88889,                0.95697,                0.68044,                 1.1042,                0.74245,                 1.2673,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3419,                 1.0941,                 1.4381,                0.85127,                0.92593,                0.91438,                0.62281,                  1.124,                 1.0582,                 1.2585,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3215,                 1.1197,                 1.4278,                0.95055,                0.77778,                0.93373,                 0.6351,                 1.1837,                0.79433,                 1.3159,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.3714,                 1.1226,                 1.4696,                0.85598,                0.88076,                0.90269,                0.56404,                 1.2051,                0.85399,                  1.413,               0.001604,               0.001604,               0.001604
                     23,                 1.3316,                 1.0746,                 1.4201,                 0.9406,                0.85185,                0.92711,                0.67072,                 1.0168,                0.84525,                 1.1816,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2936,                 1.0227,                 1.3792,                 0.8799,                0.85185,                0.92232,                0.63973,                 1.0701,                0.69354,                 1.2133,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.3079,                  1.021,                 1.3838,                0.85192,                0.85235,                0.94946,                0.68466,                 1.1493,                0.75607,                  1.256,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2822,                 1.0123,                  1.364,                0.89025,                0.90157,                0.96613,                0.70199,                 1.1086,                0.68803,                  1.229,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.3036,                0.97732,                  1.373,                0.78758,                0.96129,                0.94991,                0.66137,                 1.0836,                0.75983,                 1.2261,               0.001505,               0.001505,               0.001505
                     28,                 1.2357,                0.93668,                 1.3551,                0.94052,                0.85185,                0.95981,                0.72329,                0.97789,                0.65915,                 1.1642,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2669,                0.93172,                 1.3592,                0.89313,                0.92867,                0.97856,                0.73452,                 1.0369,                0.65513,                 1.1983,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2298,                0.94481,                 1.3406,                0.88459,                0.96296,                0.97135,                0.66483,                 1.1339,                0.69425,                  1.231,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2351,                0.93709,                 1.3523,                0.94093,                0.88889,                0.96063,                0.70245,                 1.0507,                0.74396,                 1.2166,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2153,                0.95151,                 1.3122,                0.80458,                0.96296,                0.88917,                0.60605,                 1.1832,                0.75661,                  1.369,               0.001406,               0.001406,               0.001406
                     33,                 1.2522,                0.93833,                 1.3498,                0.83017,                0.96296,                0.94457,                0.71663,                0.99586,                0.64192,                 1.1517,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1842,                0.89341,                 1.3042,                0.84524,                0.88889,                0.94416,                0.67907,                 1.0775,                0.70365,                 1.2038,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1884,                0.88527,                 1.3202,                 0.9385,                0.85185,                0.96352,                0.66034,                 1.1783,                0.66529,                 1.2409,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.185,                0.87851,                 1.3056,                 0.8661,                0.95844,                0.96167,                0.63277,                 1.2438,                0.66852,                  1.288,              0.0013268,              0.0013268,              0.0013268
                     37,                    1.2,                0.86912,                   1.33,                0.93843,                0.88889,                0.95832,                0.72231,                0.96329,                0.66125,                 1.1725,               0.001307,               0.001307,               0.001307
                     38,                 1.2049,                 0.8858,                 1.3366,                0.94844,                0.92593,                 0.9702,                0.71082,                  1.067,                0.62473,                 1.2556,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.199,                0.85132,                 1.3127,                0.84457,                      1,                0.98078,                 0.7195,                0.97511,                0.58977,                 1.1788,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2047,                0.86091,                 1.3184,                0.92367,                0.89666,                0.96279,                0.68601,                 1.0942,                0.67012,                 1.1966,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1439,                0.83038,                 1.2884,                0.93552,                0.85185,                0.94621,                0.68568,                 1.0604,                0.66289,                 1.1724,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1688,                0.83557,                 1.2807,                0.92302,                0.96296,                0.97404,                0.73043,                0.99324,                0.56362,                 1.1265,               0.001208,               0.001208,               0.001208
                     43,                 1.1262,                0.83662,                 1.2703,                      1,                0.91916,                0.98309,                0.69958,                  1.016,                0.58314,                 1.1523,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1458,                0.84805,                 1.2678,                0.85201,                0.96296,                0.95815,                0.71327,                 1.0298,                0.63911,                 1.1613,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1132,                0.80539,                 1.2607,                0.93716,                0.92593,                0.95234,                0.66492,                 1.0637,                0.62388,                 1.2333,              0.0011486,              0.0011486,              0.0011486
