                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5661,                 2.5677,                 1.4766,                0.00818,                      1,                0.36908,                0.21178,                 1.2562,                 2.9097,                 1.2808,                0.00056,                0.00056,                0.00056
                      2,                 1.4554,                 1.8058,                 1.3775,                0.45367,                0.14815,                0.27608,                0.14383,                 1.6591,                 2.8542,                 1.6582,              0.0011287,              0.0011287,              0.0011287
                      3,                  1.485,                 1.7186,                 1.4092,                0.28915,                 0.2963,                0.10574,                0.05919,                 2.0785,                 3.1365,                 4.1596,              0.0016859,              0.0016859,              0.0016859
                      4,                 1.4742,                  1.609,                 1.3859,                0.87955,                0.54145,                0.69172,                0.40229,                 1.5776,                 2.0253,                 1.5319,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4896,                 1.4882,                 1.3967,                0.83128,                0.62963,                0.76949,                0.48236,                 1.4307,                 1.5992,                  1.361,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4681,                 1.4411,                 1.3974,                0.25336,                0.77778,                0.24006,                0.15224,                 1.3241,                 2.1499,                 1.2606,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4082,                 1.3635,                 1.3443,                0.72752,                0.85185,                0.86213,                 0.5147,                 1.4012,                 1.0731,                 1.2746,               0.001901,               0.001901,               0.001901
                      8,                 1.4341,                 1.2974,                 1.3825,                0.93199,                0.88889,                0.95605,                0.59179,                 1.3125,                0.97125,                  1.288,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4291,                 1.2737,                 1.3535,                0.85127,                0.84808,                0.88268,                0.51442,                 1.3396,                 1.0331,                  1.253,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4483,                 1.2408,                 1.3812,                0.85684,                0.88675,                0.91637,                0.57923,                 1.2247,                0.92459,                 1.2068,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4232,                 1.2068,                 1.3624,                0.91893,                0.83992,                0.93647,                0.64899,                 1.2057,                0.89668,                 1.1724,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4021,                 1.1859,                 1.3412,                 0.7802,                0.88889,                0.86459,                0.59038,                 1.1271,                0.96772,                 1.1572,               0.001802,               0.001802,               0.001802
                     13,                 1.3392,                 1.1483,                 1.2965,                0.85307,                0.88889,                0.89901,                0.61507,                 1.2314,                0.97396,                 1.2941,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3296,                 1.1319,                 1.3217,                0.83995,                0.88889,                0.93513,                0.63382,                 1.1179,                0.81373,                 1.1235,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.341,                 1.0876,                 1.3118,                0.88875,                0.88767,                0.92691,                0.63642,                 1.1654,                0.80429,                 1.1212,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3779,                 1.1149,                 1.3344,                0.80669,                0.92736,                0.92965,                0.65137,                 1.0967,                 1.0139,                 1.1338,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3454,                 1.1144,                 1.3342,                0.95467,                0.78014,                 0.9408,                0.62862,                 1.1093,                0.96242,                 1.0923,               0.001703,               0.001703,               0.001703
                     18,                  1.322,                 1.0481,                 1.2609,                0.99379,                0.92593,                0.98827,                0.66663,                 1.1833,                 0.7182,                 1.1064,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3103,                 0.9875,                 1.2641,                0.90903,                0.88889,                0.93863,                 0.6634,                 1.0508,                0.86997,                 1.1092,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2696,                0.98467,                 1.2508,                0.98037,                0.92593,                0.98469,                0.69088,                 1.1356,                0.72517,                 1.1253,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2864,                0.93897,                 1.2426,                0.87796,                0.88889,                0.93293,                0.64897,                 1.1064,                0.73974,                 1.1028,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2431,                0.92949,                 1.2485,                   0.87,                0.99169,                0.97845,                0.70692,                 1.0497,                0.65313,                 1.0943,               0.001604,               0.001604,               0.001604
                     23,                 1.2536,                0.95557,                 1.2282,                0.95575,                0.96296,                0.97985,                0.72996,                0.98321,                0.66109,                 1.0132,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2716,                0.93893,                 1.2311,                0.88051,                      1,                0.96161,                0.67401,                  1.111,                 0.6906,                 1.0632,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2398,                0.94609,                  1.233,                0.89432,                0.94055,                0.96068,                0.70372,                 1.0932,                0.78935,                 1.0583,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2465,                0.92927,                 1.2359,                0.83626,                0.94611,                0.95958,                0.59911,                  1.183,                0.77035,                 1.0987,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2274,                0.93912,                 1.2233,                0.93412,                0.92593,                0.96989,                0.67563,                 1.1057,                0.72254,                  1.068,               0.001505,               0.001505,               0.001505
                     28,                 1.2438,                0.89738,                  1.228,                0.92817,                0.85185,                0.93034,                0.64721,                 1.0925,                0.79651,                 1.0575,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2001,                0.85061,                 1.2182,                0.91784,                0.96296,                0.97829,                 0.6538,                 1.1366,                 0.6736,                 1.0994,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1931,                0.86499,                 1.2276,                0.81863,                0.88889,                0.93364,                0.68369,                 1.0409,                0.71184,                 1.0652,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1779,                0.84025,                 1.1948,                0.89261,                0.92362,                 0.9676,                0.70715,                 1.0964,                0.62652,                 1.1051,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1804,                0.85846,                 1.2343,                0.88142,                0.92593,                0.94733,                0.67489,                 1.0314,                0.68846,                 1.0511,               0.001406,               0.001406,               0.001406
                     33,                 1.2049,                0.85073,                 1.2068,                0.96085,                0.81481,                0.92239,                0.63927,                 1.1268,                0.78612,                 1.1643,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1496,                0.80004,                 1.2012,                0.88521,                0.92593,                0.95765,                0.68864,                 1.1116,                0.62201,                 1.0642,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.188,                0.80048,                 1.2073,                0.87082,                      1,                 0.9818,                0.72433,                 1.0073,                0.61015,                  1.033,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1624,                0.81726,                 1.1748,                0.85201,                0.92593,                0.90155,                0.64112,                 1.1593,                0.64453,                 1.1852,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1807,                0.81531,                 1.1923,                0.86064,                0.91518,                0.89848,                0.64891,                 1.1237,                 0.6435,                 1.1754,               0.001307,               0.001307,               0.001307
                     38,                 1.1722,                0.81576,                 1.1772,                0.92465,                      1,                0.98997,                0.64766,                 1.1448,                0.58988,                 1.1103,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1427,                 0.7777,                 1.1628,                0.91743,                0.96296,                0.97739,                0.68343,                 1.0731,                0.59816,                 1.0573,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1654,                0.79509,                 1.1914,                0.86278,                0.81481,                0.88154,                0.59884,                 1.0867,                0.79566,                 1.1741,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1309,                0.76825,                 1.1566,                0.90228,                0.85185,                 0.9225,                 0.6304,                 1.2322,                0.71221,                 1.2797,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.113,                0.74643,                 1.1573,                0.80687,                0.92849,                0.92287,                0.67177,                  1.132,                0.65227,                 1.1529,               0.001208,               0.001208,               0.001208
                     43,                 1.0685,                 0.7358,                 1.1516,                0.92583,                0.96296,                  0.992,                0.69467,                 1.0874,                0.57184,                 1.1031,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1084,                0.74148,                  1.155,                      1,                0.98586,                  0.995,                0.71594,                 1.0368,                0.58141,                 1.0492,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0811,                 0.7433,                 1.1372,                0.94957,                0.92593,                0.96829,                0.69886,                 1.0509,                0.64336,                 1.0416,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0912,                0.70737,                 1.1647,                0.89582,                0.95561,                0.94933,                0.66064,                 1.1717,                0.64635,                 1.1576,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1105,                0.74986,                 1.1564,                0.92853,                0.96232,                0.98002,                0.68885,                 1.0801,                0.64309,                 1.0928,               0.001109,               0.001109,               0.001109
                     48,                 1.0867,                0.73075,                 1.1438,                0.95627,                 0.8101,                0.95528,                0.63637,                 1.1751,                0.70985,                 1.0838,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0522,                0.72011,                 1.1338,                0.95551,                0.85185,                0.95722,                0.70369,                0.99221,                0.61272,                 1.0589,              0.0010694,              0.0010694,              0.0010694
                     50,                   1.07,                0.70125,                 1.1256,                0.92502,                0.96296,                0.95983,                0.69704,                 1.0738,                 0.6182,                 1.0604,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0729,                0.71856,                 1.1434,                0.91268,                0.92593,                0.95297,                0.66208,                 1.1415,                0.66038,                 1.1063,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.073,                0.70985,                 1.1471,                0.88689,                0.96296,                0.96405,                0.69937,                 1.0841,                0.61999,                 1.0672,                0.00101,                0.00101,                0.00101
                     53,                 1.0174,                0.68667,                 1.1196,                  0.952,                      1,                0.98714,                0.70752,                 1.0272,                0.56382,                 1.0499,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0536,                0.68816,                 1.1307,                0.88437,                0.88889,                0.91606,                0.66252,                 1.1242,                 0.7114,                 1.1173,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0298,                0.69999,                 1.1185,                0.89438,                0.94116,                0.94923,                0.67471,                 1.0624,                0.65198,                 1.0513,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0417,                0.68609,                 1.1275,                0.91927,                      1,                0.97861,                0.69534,                 1.0191,                0.57773,                 1.0476,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0382,                0.68168,                 1.1262,                0.90217,                0.81481,                0.90599,                0.69762,                0.99996,                 0.6335,                 1.1219,               0.000911,               0.000911,               0.000911
                     58,                 1.0344,                0.64576,                 1.1206,                0.82922,                0.92593,                0.93364,                0.63834,                 1.0896,                0.69054,                 1.0779,              0.0008912,              0.0008912,              0.0008912
                     59,                0.99422,                0.65497,                 1.0907,                0.82559,                0.87691,                0.94059,                0.65596,                  1.067,                0.67151,                 1.0664,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0191,                0.64628,                 1.0932,                0.94853,                0.92593,                0.96069,                0.68634,                 1.0778,                0.57814,                 1.0893,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0115,                0.65747,                 1.1232,                0.89252,                0.92275,                0.94577,                0.65736,                 1.1412,                0.66544,                 1.1004,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0241,                0.66908,                 1.0941,                0.85378,                0.92593,                0.95964,                0.66002,                 1.1032,                0.61488,                 1.1173,               0.000812,               0.000812,               0.000812
                     63,                0.97905,                0.64161,                 1.0743,                0.93977,                0.92593,                0.98327,                0.69698,                 1.1477,                0.54226,                 1.1357,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.005,                0.63934,                 1.1273,                0.91041,                0.92593,                0.95997,                0.65063,                 1.1393,                0.56584,                 1.1257,              0.0007724,              0.0007724,              0.0007724
                     65,                0.94619,                0.60857,                 1.0778,                 0.8278,                0.92593,                0.93006,                0.65655,                 1.0848,                0.61978,                 1.0342,              0.0007526,              0.0007526,              0.0007526
                     66,                0.95557,                0.60505,                 1.0906,                0.86297,                0.88889,                0.95963,                0.67234,                  1.134,                0.62981,                  1.092,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0068,                 0.6251,                 1.0903,                0.90165,                0.96296,                0.96607,                0.70127,                 1.0591,                0.57437,                 1.0252,               0.000713,               0.000713,               0.000713
                     68,                0.97874,                0.63921,                 1.0854,                0.92806,                0.95586,                0.96812,                0.71313,                0.97101,                0.54426,                  1.008,              0.0006932,              0.0006932,              0.0006932
                     69,                0.94918,                0.61801,                 1.0835,                0.82927,                0.96296,                0.93258,                 0.6601,                 1.0765,                0.60154,                 1.0389,              0.0006734,              0.0006734,              0.0006734
                     70,                0.94606,                0.58989,                 1.0612,                0.88777,                0.92593,                0.92708,                0.67978,                 1.0983,                0.54066,                 1.1625,              0.0006536,              0.0006536,              0.0006536
                     71,                0.92792,                0.59201,                  1.064,                0.92437,                0.96296,                0.98404,                0.66256,                 1.1301,                0.52895,                 1.1588,              0.0006338,              0.0006338,              0.0006338
                     72,                0.94402,                0.57774,                 1.0689,                0.89294,                0.96296,                0.95986,                 0.6604,                 1.1294,                0.62047,                 1.1544,               0.000614,               0.000614,               0.000614
                     73,                0.91538,                0.57615,                  1.057,                  0.862,                0.96296,                 0.9519,                0.67077,                 1.1644,                0.60073,                 1.1202,              0.0005942,              0.0005942,              0.0005942
                     74,                0.90642,                0.57262,                 1.0502,                0.83242,                0.96296,                 0.9693,                0.70296,                    1.1,                0.54329,                 1.0596,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.9439,                0.59338,                 1.0821,                0.89072,                0.96296,                0.97342,                0.66697,                 1.1431,                0.55813,                 1.1765,              0.0005546,              0.0005546,              0.0005546
                     76,                0.94077,                0.58238,                 1.0647,                0.99045,                0.88889,                0.98344,                0.69978,                 1.1232,                0.51802,                 1.1015,              0.0005348,              0.0005348,              0.0005348
                     77,                0.91891,                0.58867,                 1.0728,                0.82932,                0.92593,                0.93901,                0.64876,                  1.253,                 0.6215,                 1.1954,               0.000515,               0.000515,               0.000515
                     78,                 0.9373,                0.57283,                 1.0742,                0.83248,                0.96296,                0.92091,                0.67698,                 1.0003,                0.56897,                0.99608,              0.0004952,              0.0004952,              0.0004952
                     79,                0.88772,                0.56416,                   1.06,                0.87004,                0.99199,                0.96892,                0.70755,                 1.0557,                 0.5424,                 1.0178,              0.0004754,              0.0004754,              0.0004754
                     80,                0.93462,                0.56998,                 1.0774,                0.85764,                0.92593,                0.91924,                0.67701,                 1.1473,                0.57312,                 1.1435,              0.0004556,              0.0004556,              0.0004556
                     81,                0.87923,                0.53267,                 1.0508,                 0.8944,                0.96296,                0.94782,                0.66464,                 1.1289,                0.58818,                 1.0601,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8552,                0.55389,                  1.045,                0.89642,                0.96165,                0.95698,                 0.6829,                 1.1317,                0.55273,                 1.1149,               0.000416,               0.000416,               0.000416
                     83,                0.87718,                0.55501,                 1.0443,                0.89227,                0.92593,                0.95968,                0.68859,                 1.0996,                0.57815,                 1.1342,              0.0003962,              0.0003962,              0.0003962
                     84,                0.88847,                0.55751,                 1.0501,                0.88332,                0.92593,                0.94689,                0.69891,                 1.0963,                0.62981,                 1.0686,              0.0003764,              0.0003764,              0.0003764
                     85,                0.83693,                0.52837,                 1.0185,                0.83793,                0.95757,                0.96355,                0.69796,                 1.1037,                0.63726,                 1.0559,              0.0003566,              0.0003566,              0.0003566
                     86,                0.85573,                0.52891,                 1.0327,                0.86011,                0.92593,                  0.965,                0.66616,                 1.1964,                0.58719,                 1.1676,              0.0003368,              0.0003368,              0.0003368
                     87,                0.86518,                0.55304,                 1.0465,                0.85312,                0.88889,                0.95275,                0.70856,                 1.1159,                0.56098,                 1.1322,               0.000317,               0.000317,               0.000317
                     88,                0.85119,                 0.5359,                 1.0506,                0.78217,                      1,                0.96227,                 0.7118,                 1.0861,                0.56497,                 1.0651,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.8565,                0.53596,                 1.0254,                0.88775,                0.96296,                0.97744,                 0.6981,                 1.0988,                0.57251,                 1.1128,              0.0002774,              0.0002774,              0.0002774
                     90,                0.83788,                0.51142,                 1.0302,                 0.8996,                0.99567,                0.97823,                0.70606,                 1.0887,                0.53741,                 1.1057,              0.0002576,              0.0002576,              0.0002576
                     91,                0.78726,                0.49117,                0.98484,                  0.837,                      1,                0.97107,                0.68808,                 1.1196,                0.57117,                 1.1057,              0.0002378,              0.0002378,              0.0002378
                     92,                0.77577,                 0.4659,                0.98211,                0.89052,                0.96296,                0.97612,                0.68681,                 1.1367,                0.54032,                 1.1376,               0.000218,               0.000218,               0.000218
                     93,                0.77698,                0.48071,                0.99507,                0.92625,                0.93049,                0.97649,                0.68455,                 1.1602,                0.54172,                 1.1255,              0.0001982,              0.0001982,              0.0001982
                     94,                0.75877,                0.43638,                0.96609,                0.86587,                0.96296,                0.96908,                0.70141,                 1.0945,                0.54519,                 1.0721,              0.0001784,              0.0001784,              0.0001784
                     95,                0.76986,                0.43694,                 0.9703,                0.86352,                0.96296,                0.96585,                0.72608,                  1.049,                0.53781,                 1.0615,              0.0001586,              0.0001586,              0.0001586
                     96,                0.71512,                0.40352,                0.95651,                0.86611,                0.95851,                0.96903,                 0.6999,                 1.1381,                0.56699,                 1.1067,              0.0001388,              0.0001388,              0.0001388
                     97,                0.71414,                0.41768,                0.95813,                0.86651,                0.96296,                0.96609,                0.68446,                  1.122,                0.56786,                 1.1139,               0.000119,               0.000119,               0.000119
                     98,                0.71712,                0.40787,                0.95185,                0.86643,                0.96105,                0.96719,                0.70572,                 1.1112,                 0.5613,                 1.0995,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.70209,                0.40254,                0.93778,                0.86642,                0.96096,                0.96798,                0.70549,                 1.1193,                0.55433,                 1.1089,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.72697,                0.41947,                0.95866,                0.86648,                0.96148,                0.97113,                0.69923,                 1.1137,                0.55208,                 1.1125,               5.96e-05,               5.96e-05,               5.96e-05
