                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6082,                 3.0542,                 1.5189,                0.65694,                0.81481,                0.72813,                0.46092,                 1.3237,                 1.7661,                 1.2829,                0.00056,                0.00056,                0.00056
                      2,                 1.4885,                 1.5633,                 1.4022,                0.59721,                0.92593,                0.82379,                0.48869,                 1.3408,                 3.9529,                 1.4831,              0.0011287,              0.0011287,              0.0011287
                      3,                 1.5926,                 1.5455,                 1.5004,                0.44282,                0.55556,                0.39588,                0.19039,                 1.9464,                 2.0019,                  2.128,              0.0016859,              0.0016859,              0.0016859
                      4,                 1.5935,                 1.4817,                 1.5211,                0.05757,                0.07407,                0.01377,                0.00388,                 3.7275,                 6.0632,                 5.8284,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5624,                 1.3799,                 1.4778,                0.24985,                0.85185,                0.24358,                0.15129,                 1.2626,                 8.1504,                 1.2953,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5571,                 1.3368,                 1.4616,                0.60202,                0.39269,                0.50205,                0.29625,                 1.5607,                 1.5781,                 1.5153,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5059,                 1.3643,                 1.4569,                0.66002,                0.79118,                0.78021,                0.50242,                 1.2519,                 1.1272,                 1.2354,               0.001901,               0.001901,               0.001901
                      8,                 1.5341,                 1.2518,                 1.4599,                0.79904,                0.44197,                 0.5305,                0.33094,                 1.5956,                 1.5352,                 1.5397,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4843,                 1.2801,                  1.424,                0.72758,                0.85185,                0.86039,                0.51224,                 1.3861,                 1.3877,                 1.3235,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4454,                 1.1788,                 1.4035,                0.79963,                0.77778,                 0.8792,                0.52864,                 1.3701,                0.99184,                 1.3166,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4624,                 1.2064,                 1.4232,                0.87904,                0.88889,                0.92747,                0.61506,                 1.2443,                 1.0342,                 1.2343,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.441,                 1.1697,                 1.3833,                0.80535,                0.92593,                0.88365,                0.57738,                 1.3167,                 1.2638,                 1.2406,               0.001802,               0.001802,               0.001802
                     13,                 1.4367,                  1.163,                 1.3804,                0.72902,                0.96296,                0.92703,                0.55659,                 1.2644,                0.94296,                 1.1732,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4054,                 1.1157,                 1.3753,                0.79092,                0.92593,                0.91715,                0.61496,                 1.0859,                0.86504,                 1.1529,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3808,                 1.0664,                 1.3745,                0.82212,                0.74074,                0.86357,                0.59718,                 1.2892,                 0.9042,                 1.3036,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3911,                 1.1197,                 1.3559,                 0.8883,                0.88378,                0.89957,                0.57475,                 1.2487,                0.87401,                 1.2313,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4025,                 1.1289,                 1.3715,                0.99049,                0.92593,                0.97492,                0.63451,                 1.2378,                0.81985,                 1.1913,               0.001703,               0.001703,               0.001703
                     18,                 1.3414,                 1.0305,                 1.2875,                0.92083,                0.96296,                0.96476,                0.63973,                 1.0837,                0.70406,                 1.1577,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3369,                0.98144,                 1.3062,                0.89279,                0.92593,                0.97144,                0.66384,                 1.1747,                0.75482,                 1.2182,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3324,                0.98791,                 1.3038,                0.84299,                0.85185,                0.91744,                0.66833,                 1.0697,                0.83814,                 1.0952,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.303,                0.94162,                 1.2922,                0.86036,                0.88889,                0.95802,                0.63742,                 1.1595,                 0.7617,                 1.1205,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2829,                0.94455,                 1.2954,                 0.9438,                0.96296,                0.98817,                 0.6248,                 1.2221,                0.73295,                 1.1897,               0.001604,               0.001604,               0.001604
                     23,                 1.2944,                0.95533,                 1.2801,                0.89558,                0.95321,                 0.9355,                0.64423,                 1.2577,                0.74469,                 1.2866,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2827,                 0.9486,                 1.2837,                0.89162,                0.91436,                0.95524,                0.69659,                 1.0858,                0.65974,                 1.1248,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2296,                 0.9296,                  1.252,                0.94499,                0.92593,                0.97348,                0.62636,                 1.2351,                0.68768,                 1.1482,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2544,                0.91534,                 1.2678,                0.86321,                0.92593,                0.94493,                0.69579,                 1.0277,                0.72557,                 1.0928,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2193,                0.91154,                 1.2509,                0.92654,                0.92593,                0.96004,                0.70172,                 1.1053,                0.68194,                 1.1431,               0.001505,               0.001505,               0.001505
                     28,                 1.2786,                0.89819,                 1.2761,                0.98993,                0.92593,                  0.988,                0.69335,                 1.1356,                0.56821,                 1.1254,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2061,                 0.8509,                 1.2405,                0.89324,                      1,                0.98021,                0.67275,                 1.1126,                 0.6275,                 1.0983,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1873,                 0.8725,                  1.248,                0.92425,                0.85185,                 0.9253,                0.65757,                 1.1683,                0.74275,                 1.1807,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2191,                 0.8483,                 1.2416,                0.99237,                0.88889,                0.98285,                0.71664,                 1.0271,                0.63803,                 1.1337,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2127,                0.87635,                 1.2596,                 0.9422,                0.92593,                  0.984,                0.67434,                 1.0989,                0.63575,                 1.1407,               0.001406,               0.001406,               0.001406
                     33,                 1.2259,                0.83188,                 1.2355,                0.94569,                0.96296,                0.98904,                0.67581,                 1.1141,                0.67492,                 1.0991,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.2069,                0.81837,                   1.25,                0.92211,                0.92593,                 0.9583,                0.66143,                 1.0673,                0.65584,                 1.0865,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.237,                 0.8426,                 1.2661,                0.95996,                0.88889,                0.95317,                0.67378,                 1.1465,                 0.6923,                 1.1475,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1767,                0.79835,                 1.2069,                 0.9789,                0.92593,                0.98327,                0.63784,                 1.1609,                0.64578,                 1.1979,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1898,                0.83454,                 1.2214,                0.93603,                0.96296,                0.98886,                0.66922,                 1.1126,                0.64289,                 1.1507,               0.001307,               0.001307,               0.001307
                     38,                 1.1626,                 0.8135,                 1.2029,                0.96041,                0.89886,                0.98344,                0.66818,                 1.1296,                0.62875,                 1.1625,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1461,                0.78169,                 1.1958,                0.95442,                0.96296,                0.98882,                0.71202,                 1.1021,                0.61356,                 1.0996,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1817,                0.78659,                 1.2354,                0.92534,                 0.9183,                0.96614,                0.65928,                 1.0643,                0.66877,                 1.1646,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1371,                0.76816,                 1.1933,                0.88926,                0.89238,                 0.9208,                0.60298,                 1.2079,                0.67714,                 1.2259,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1082,                0.75894,                 1.1893,                0.88704,                0.96296,                  0.973,                0.71537,                 1.0109,                0.55694,                 1.0354,               0.001208,               0.001208,               0.001208
                     43,                 1.0995,                0.73692,                 1.1859,                0.91166,                      1,                0.97863,                0.73372,                0.96242,                0.55225,                 1.0365,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1205,                0.74446,                  1.195,                 0.8903,                0.96296,                0.96839,                0.68458,                 1.0503,                0.62241,                 1.0478,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1066,                0.74719,                 1.1675,                0.87948,                0.92593,                0.95719,                0.71011,                 1.0478,                 0.5876,                 1.0671,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0722,                0.69831,                 1.1824,                0.92745,                0.96296,                0.96102,                0.66996,                 1.1971,                0.60363,                 1.1548,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1019,                0.74208,                 1.1815,                0.92026,                0.96296,                0.97456,                 0.7043,                 1.0213,                0.56114,                 1.0872,               0.001109,               0.001109,               0.001109
                     48,                 1.0844,                 0.7209,                 1.1697,                0.86285,                      1,                0.96835,                0.64697,                 1.2133,                0.61729,                 1.1612,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0632,                0.70216,                 1.1705,                0.96253,                0.96296,                0.98182,                 0.7136,                 1.0768,                0.52206,                 1.1728,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0668,                0.67845,                  1.148,                0.92831,                      1,                0.98171,                0.72699,                  1.024,                0.51916,                 1.0672,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0696,                0.71057,                 1.1633,                0.89548,                0.95227,                0.97525,                0.69585,                 1.0789,                0.58665,                 1.1203,              0.0010298,              0.0010298,              0.0010298
